Id,R,F,M,聚类类别
inuc120,12,17,1583.05,0
inuc121,3,18,602.9,0
inuc122,5,1,798.41,1
inuc123,25,7,1202.09,1
inuc124,85,4,1605.36,2
inuc125,28,21,1222.34,0
inuc126,25,19,593.17,0
inuc127,8,6,94.75,1
inuc128,14,1,89.7,1
inuc129,21,15,1061.56,0
inuc130,29,15,978.85,0
inuc131,14,3,155.9,1
inuc132,20,5,938.15,1
inuc133,3,24,1477.97,0
inuc134,10,6,1976.23,1
inuc135,8,5,181.17,1
inuc136,17,4,499.65,1
inuc137,49,1,76.22,2
inuc138,13,11,267.1,1
inuc139,23,1,137.62,1
inuc140,65,5,1383.47,2
inuc141,20,22,1311.2,0
inuc142,22,13,496.61,1
inuc143,21,6,1921.8,1
inuc144,14,11,304.1,1
inuc145,26,1,468.09,1
inuc146,27,9,432.67,1
inuc147,30,1,368.35,1
inuc148,11,4,759.69,1
inuc149,26,3,1110.81,1
inuc150,28,1,53.0,1
inuc151,39,11,1314.21,2
inuc152,11,6,1895.95,1
inuc153,23,1,417.23,1
inuc154,3,2,679.58,1
inuc155,5,1,533.97,1
inuc156,24,8,1134.64,1
inuc157,25,6,825.39,1
inuc158,10,6,165.39,1
inuc159,29,9,1234.64,1
inuc160,80,11,1829.32,2
inuc161,23,1,89.0,1
inuc162,4,2,1557.88,1
inuc163,3,8,1328.01,1
inuc164,15,7,304.65,1
inuc165,17,23,1505.55,0
inuc166,16,7,711.1,1
inuc167,16,1,539.76,1
inuc168,5,1,65.83,1
inuc169,16,3,776.21,1
inuc170,22,18,1820.61,0
inuc171,19,4,1997.0,1
inuc172,4,22,1846.69,0
inuc173,23,7,1252.41,1
inuc174,7,13,987.17,0
inuc175,3,6,1130.03,1
inuc176,18,1,148.32,1
inuc177,28,1,135.57,1
inuc178,6,2,1641.79,1
inuc179,7,2,242.83,1
inuc180,21,8,1803.02,0
inuc181,12,12,1557.95,0
inuc182,25,4,1494.81,1
inuc183,26,13,1280.06,0
inuc184,28,1,160.0,1
inuc185,22,9,440.12,1
inuc186,14,1,746.95,1
inuc187,12,2,351.09,1
inuc188,6,2,556.91,1
inuc189,7,3,957.83,1
inuc190,16,16,1212.37,0
inuc191,11,2,946.65,1
inuc192,16,13,1442.68,0
inuc193,5,12,1612.7,0
inuc194,0,21,1281.68,0
inuc195,9,13,1928.8,0
inuc196,24,7,335.35,1
inuc197,3,8,1589.35,1
inuc198,20,11,797.72,1
inuc199,17,1,793.47,1
inuc200,13,16,569.47,0
inuc201,10,3,149.5,1
inuc202,17,21,515.38,0
inuc203,8,4,187.76,1
inuc204,20,7,1441.83,1
inuc205,27,1,121.61,1
inuc206,25,11,934.58,1
inuc207,16,15,591.06,0
inuc208,15,4,951.31,1
inuc209,12,11,914.0,1
inuc210,3,22,1058.0,0
inuc211,9,2,1111.51,1
inuc212,17,9,458.52,1
inuc213,27,18,927.59,0
inuc214,73,1,1370.25,2
inuc215,17,1,946.53,1
inuc216,10,1,1474.41,1
inuc217,16,3,1661.03,1
inuc218,0,9,1465.18,1
inuc219,17,3,1813.45,1
inuc220,5,7,772.54,1
inuc221,4,1,172.82,1
inuc222,14,4,552.37,1
inuc223,12,8,946.28,1
inuc224,26,2,651.99,1
inuc225,6,9,857.79,1
inuc226,7,4,1016.55,1
inuc227,5,6,1766.44,1
inuc228,25,3,908.53,1
inuc229,28,2,403.75,1
inuc230,25,4,1270.75,1
inuc231,13,3,1157.92,1
inuc232,13,1,497.09,1
inuc233,2,1,216.78,1
inuc234,23,16,1454.58,0
inuc235,2,17,1027.58,0
inuc236,24,12,722.09,1
inuc237,15,7,282.19,1
inuc238,11,4,106.96,1
inuc239,18,1,999.75,1
inuc240,24,14,1139.33,0
inuc241,24,5,836.72,1
inuc242,3,2,1678.54,1
inuc243,3,17,1337.34,0
inuc244,1,4,1335.77,1
inuc245,11,2,810.2,1
inuc246,29,11,943.9,1
inuc247,51,12,5135.77,2
inuc248,6,9,984.12,1
inuc249,6,5,1413.55,1
inuc250,1,6,381.95,1
inuc251,6,14,788.22,0
inuc252,29,1,80.8,1
inuc253,21,1,611.13,1
inuc254,24,4,1766.35,1
inuc255,0,2,1516.76,1
inuc256,9,6,1925.2,1
inuc257,17,1,344.23,1
inuc258,49,1,204.1,2
inuc259,5,2,1257.59,1
inuc260,7,3,1095.09,1
inuc261,2,1,123.76,1
inuc262,3,2,696.82,1
inuc263,26,2,1487.35,1
inuc264,19,3,1278.43,1
inuc265,28,14,627.97,0
inuc266,12,1,95.0,1
inuc267,14,4,1827.01,1
inuc268,10,6,754.05,1
inuc269,19,2,922.93,1
inuc270,12,12,257.4,1
inuc271,1,14,676.34,0
inuc272,3,19,984.32,0
inuc273,27,32,1914.06,0
inuc274,13,4,1953.81,1
inuc275,1,4,768.02,1
inuc276,61,13,1379.86,2
inuc277,42,1,1054.24,2
inuc278,21,11,298.34,1
inuc279,17,5,841.04,1
inuc280,8,9,1757.87,0
inuc281,22,11,1010.7,1
inuc282,13,6,948.83,1
inuc283,12,24,852.95,0
inuc284,7,7,1532.72,1
inuc285,11,6,1891.29,1
inuc286,10,21,1900.33,0
inuc287,16,13,598.84,0
inuc288,8,21,1622.91,0
inuc289,21,7,536.53,1
inuc290,66,6,180.51,2
inuc291,18,8,1751.33,1
inuc292,26,1,1146.43,1
inuc293,24,6,654.8,1
inuc294,4,3,1599.58,1
inuc295,14,16,1317.4,0
inuc296,16,18,1665.03,0
inuc297,11,17,440.21,0
inuc298,16,3,1689.94,1
inuc299,3,12,1163.78,0
inuc300,11,6,664.23,1
inuc301,10,4,1658.4,1
inuc302,3,8,1293.56,1
inuc303,59,14,912.94,2
inuc304,25,2,1265.24,1
inuc305,20,6,1169.96,1
inuc306,25,3,735.19,1
inuc307,5,6,1749.68,1
inuc308,17,15,483.51,0
inuc309,23,22,1436.67,0
inuc310,16,2,1439.93,1
inuc311,16,1,252.12,1
inuc312,7,14,848.68,0
inuc313,30,9,252.98,1
inuc314,5,2,464.9,1
inuc315,3,2,50.14,1
inuc316,5,5,1381.21,1
inuc317,23,1,1606.04,1
inuc318,8,11,309.45,1
inuc319,69,15,1441.57,2
inuc320,12,8,434.36,1
inuc321,61,6,1893.97,2
inuc322,16,18,1391.11,0
inuc323,12,24,1292.14,0
inuc324,3,6,312.33,1
inuc325,17,24,845.68,0
inuc326,16,6,1993.47,1
inuc327,22,2,1414.29,1
inuc328,2,11,472.46,1
inuc329,10,1,1255.44,1
inuc330,7,12,1256.98,0
inuc331,15,9,904.91,1
inuc332,8,9,237.52,1
inuc333,7,11,1143.16,0
inuc334,20,7,805.15,1
inuc335,15,4,1259.42,1
inuc336,11,7,247.64,1
inuc337,3,1,1391.51,1
inuc338,12,18,866.59,0
inuc339,71,23,1127.95,2
inuc340,25,9,1535.08,0
inuc341,20,13,911.15,0
inuc342,20,5,1001.84,1
inuc343,10,1,91.93,1
inuc344,15,7,1172.57,1
inuc345,9,18,1882.22,0
inuc346,1,19,528.68,0
inuc347,21,11,1943.65,0
inuc348,28,7,570.73,1
inuc349,5,6,909.57,1
inuc350,12,8,1406.95,1
inuc351,10,11,1060.91,1
inuc352,4,1,90.67,1
inuc353,17,15,1757.5,0
inuc354,65,11,1082.01,2
inuc355,1,6,1665.49,1
inuc356,20,17,553.53,0
inuc357,24,18,1568.74,0
inuc358,24,4,993.88,1
inuc359,9,17,511.39,0
inuc360,12,23,7149.96,0
inuc361,11,16,1994.53,0
inuc362,6,13,399.26,1
inuc363,20,7,211.93,1
inuc364,16,2,1466.19,1
inuc365,29,2,1185.26,1
inuc366,22,16,1400.35,0
inuc367,11,1,433.0,1
inuc368,10,4,238.6,1
inuc369,22,3,1393.92,1
inuc370,7,3,720.16,1
inuc371,26,16,1810.43,0
inuc372,24,6,230.28,1
inuc373,4,4,772.84,1
inuc374,26,1,339.03,1
inuc375,5,19,1118.51,0
inuc376,1,6,328.31,1
inuc377,21,17,1385.52,0
inuc378,47,5,169.25,2
inuc379,8,18,1177.91,0
inuc380,26,12,879.69,0
inuc381,11,3,446.58,1
inuc382,16,1,1437.14,1
inuc383,13,21,695.48,0
inuc384,27,16,1715.16,0
inuc385,19,1,1048.5,1
inuc386,2,17,1545.94,0
inuc387,22,1,656.28,1
inuc388,15,11,620.08,1
inuc389,16,12,1111.76,0
inuc390,26,5,1440.3,1
inuc391,30,11,173.89,1
inuc392,29,9,365.41,1
inuc393,29,19,1495.14,0
inuc394,7,24,1456.31,0
inuc395,13,13,1327.45,0
inuc396,24,1,1445.07,1
inuc397,20,2,67.47,1
inuc398,15,14,759.95,0
inuc399,8,11,268.31,1
inuc400,44,11,887.47,2
inuc401,8,22,1970.75,0
inuc402,26,2,335.05,1
inuc403,13,19,419.22,0
inuc404,7,12,494.74,1
inuc405,10,11,1535.51,0
inuc406,9,1,571.11,1
inuc407,12,1,1491.21,1
inuc408,12,3,1385.53,1
inuc409,1,11,1030.93,1
inuc410,4,4,978.71,1
inuc411,15,1,516.33,1
inuc412,6,24,543.75,0
inuc413,5,4,356.23,1
inuc414,10,18,1789.67,0
inuc415,24,16,1978.79,0
inuc416,16,5,434.48,1
inuc417,22,23,1458.64,0
inuc418,15,1,854.1,1
inuc419,18,13,1879.27,0
inuc420,8,24,1901.09,0
inuc421,39,2,1521.44,2
inuc422,14,13,1956.9,0
inuc423,12,14,690.06,0
inuc424,1,18,1157.17,0
inuc425,17,6,600.46,1
inuc426,1,21,1108.49,0
inuc427,25,23,512.01,0
inuc428,25,11,1510.08,0
inuc429,27,21,1255.12,0
inuc430,3,5,1676.56,1
inuc431,1,17,1974.68,0
inuc432,28,4,418.22,1
inuc433,1,19,1577.28,0
inuc434,5,24,1416.82,0
inuc435,23,9,1300.04,1
inuc436,12,23,1206.86,0
inuc437,11,16,1699.1,0
inuc438,10,19,1031.1,0
inuc439,8,9,414.99,1
inuc440,58,8,1262.55,2
inuc441,18,4,1254.34,1
inuc442,7,1,1103.45,1
inuc443,8,14,1802.11,0
inuc444,0,2,387.24,1
inuc445,19,22,1204.62,0
inuc446,27,19,1058.39,0
inuc447,22,1,696.37,1
inuc448,12,7,1055.71,1
inuc449,2,14,1649.81,0
inuc450,27,19,1293.73,0
inuc451,20,16,1517.39,0
inuc452,28,3,1497.35,1
inuc453,4,9,399.02,1
inuc454,6,1,1598.45,1
inuc455,0,18,1300.99,0
inuc456,18,15,1008.74,0
inuc457,13,8,1819.96,0
inuc458,21,18,630.47,0
inuc459,6,5,1478.86,1
inuc460,16,21,1562.08,0
inuc461,29,9,1171.59,1
inuc462,8,21,1642.86,0
inuc463,11,19,1373.12,0
inuc464,8,5,180.07,1
inuc465,2,18,996.17,0
inuc466,7,1,45.23,1
inuc467,29,11,1049.44,0
inuc468,16,8,220.03,1
inuc469,19,7,393.14,1
inuc470,14,17,1963.58,0
inuc471,9,6,147.12,1
inuc472,6,7,1279.7,1
inuc473,24,1,633.17,1
inuc474,12,1,1562.66,1
inuc475,14,21,1354.59,0
inuc476,8,1,911.62,1
inuc477,25,4,1725.82,1
inuc478,4,4,573.16,1
inuc479,14,13,1331.53,0
inuc480,13,14,1688.13,0
inuc481,13,4,180.0,1
inuc482,4,22,636.38,0
inuc483,10,8,830.24,1
inuc484,20,22,641.43,0
inuc485,4,1,790.84,1
inuc486,17,22,686.0,0
inuc487,29,18,839.53,0
inuc488,7,22,1862.15,0
inuc489,4,2,1645.01,1
inuc490,26,13,678.39,0
inuc491,1,15,1287.7,0
inuc492,24,12,1138.13,0
inuc493,25,21,1081.9,0
inuc494,1,11,432.32,1
inuc495,18,13,437.33,1
inuc496,24,23,852.05,0
inuc497,18,5,1686.86,1
inuc498,39,15,1420.24,0
inuc499,27,11,869.55,1
inuc500,25,8,1919.58,0
inuc501,12,22,1451.94,0
inuc502,2,1,1824.64,1
inuc503,7,11,1877.28,0
inuc504,6,24,1717.3,0
inuc505,17,16,6148.05,0
inuc506,13,2,111.17,1
inuc507,21,1,621.61,1
inuc508,16,1,1663.79,1
inuc509,7,7,1247.65,1
inuc510,5,1,198.72,1
inuc511,8,1,927.95,1
inuc512,33,1,117.62,1
inuc513,6,13,1674.32,0
inuc514,1,21,734.98,0
inuc515,5,11,1387.5,0
inuc516,8,18,488.5,0
inuc517,7,6,92.63,1
inuc518,6,7,1808.21,1
inuc519,19,21,910.94,0
inuc520,14,6,1564.15,1
inuc521,25,14,1894.13,0
inuc522,10,12,751.38,1
inuc523,4,11,1813.51,0
inuc524,4,6,1367.15,1
inuc525,15,5,1264.09,1
inuc526,7,1,685.55,1
inuc527,4,4,1296.34,1
inuc528,14,7,1300.12,1
inuc529,38,15,1728.68,0
inuc530,11,1,487.28,1
inuc531,4,12,1313.31,0
inuc532,25,17,1694.35,0
inuc533,5,2,1931.97,1
inuc534,27,22,1372.36,0
inuc535,26,18,1731.94,0
inuc536,19,1,1496.83,1
inuc537,22,15,1798.79,0
inuc538,11,6,803.94,1
inuc539,24,11,1505.96,0
inuc540,17,1,120.52,1
inuc541,18,7,936.77,1
inuc542,23,7,1824.41,1
inuc543,17,5,177.08,1
inuc544,1,19,867.99,0
inuc545,21,17,756.88,0
inuc546,13,4,6433.81,0
inuc547,38,2,1947.54,2
inuc548,19,5,549.35,1
inuc549,26,8,1680.69,1
inuc550,30,12,555.2,1
inuc551,7,6,334.12,1
inuc552,17,19,925.89,0
inuc553,27,6,249.2,1
inuc554,12,14,666.3,0
inuc555,27,17,1955.27,0
inuc556,8,11,363.62,1
inuc557,4,8,1728.0,1
inuc558,20,9,197.43,1
inuc559,28,24,973.93,0
inuc560,27,12,1051.75,0
inuc561,12,19,1315.32,0
inuc562,4,13,1628.32,0
inuc563,13,12,1452.1,0
inuc564,16,21,1591.59,0
inuc565,10,1,487.24,1
inuc566,36,18,839.52,0
inuc567,8,11,1729.52,0
inuc568,13,3,1679.0,1
inuc569,2,18,780.88,0
inuc570,9,5,498.99,1
inuc571,26,11,1932.64,0
inuc572,27,1,98.39,1
inuc573,5,6,239.36,1
inuc574,23,13,866.19,0
inuc575,27,4,1469.94,1
inuc576,26,7,1273.07,1
inuc577,24,19,1617.51,0
inuc578,24,9,334.68,1
inuc579,7,12,1288.1,0
inuc580,42,2,1784.51,2
inuc581,16,7,1234.33,1
inuc582,21,21,1730.02,0
inuc583,13,3,1512.12,1
inuc584,9,4,93.0,1
inuc585,26,3,1767.68,1
inuc586,24,11,1640.19,0
inuc587,5,6,750.26,1
inuc588,6,12,299.66,1
inuc589,19,14,1735.09,0
inuc590,26,11,1628.49,0
inuc591,20,4,1155.02,1
inuc592,22,8,1923.31,0
inuc593,2,18,391.1,0
inuc594,13,14,411.61,0
inuc595,21,4,1631.06,1
inuc596,21,18,1359.47,0
inuc597,26,3,1083.38,1
inuc598,23,16,1320.69,0
inuc599,13,21,564.33,0
inuc600,13,3,1936.93,1
inuc601,12,21,766.06,0
inuc602,23,8,1090.77,1
inuc603,25,9,1932.46,0
inuc604,27,11,747.42,1
inuc605,14,12,377.47,1
inuc606,13,6,141.28,1
inuc607,8,22,547.14,0
inuc608,23,3,344.95,1
inuc609,17,7,999.24,1
inuc610,13,12,745.11,1
inuc611,28,23,751.19,0
inuc612,8,1,954.72,1
inuc613,26,3,1066.27,1
inuc614,17,2,489.08,1
inuc615,3,15,885.49,0
inuc616,39,14,1454.39,0
inuc617,13,8,519.83,1
inuc618,18,21,473.87,0
inuc619,10,21,1465.95,0
inuc620,4,6,301.49,1
inuc621,20,16,951.76,0
inuc622,16,15,1282.64,0
inuc623,14,6,347.42,1
inuc624,1,5,164.98,1
inuc625,20,7,99.67,1
inuc626,7,5,1909.29,1
inuc627,1,11,981.2,1
inuc628,16,14,1473.62,0
inuc629,18,1,72.31,1
inuc630,20,23,1128.24,0
inuc631,2,9,1444.39,1
inuc632,1,1,128.0,1
inuc633,59,1,1767.93,2
inuc634,18,1,531.73,1
inuc635,27,1,85.63,1
inuc636,2,2,698.67,1
inuc637,3,3,690.64,1
inuc638,29,1,249.85,1
inuc639,9,3,563.28,1
inuc640,19,5,1191.27,1
inuc641,21,22,1400.81,0
inuc642,6,2,1749.21,1
inuc643,23,11,471.6,1
inuc644,27,19,1325.11,0
inuc645,12,13,778.11,0
inuc646,8,6,216.09,1
inuc647,84,2,276.26,2
inuc648,19,2,1657.46,1
inuc649,26,2,1483.83,1
inuc650,21,5,554.38,1
inuc651,15,13,1457.71,0
inuc652,7,15,1537.57,0
inuc653,3,21,627.72,0
inuc654,1,3,1920.02,1
inuc655,7,9,739.45,1
inuc656,19,23,639.21,0
inuc657,2,22,1321.41,0
inuc658,19,14,1214.69,0
inuc659,5,2,1576.96,1
inuc660,2,6,1726.92,1
inuc661,9,2,418.18,1
inuc662,93,1,878.92,2
inuc663,24,11,1829.07,0
inuc664,9,19,919.33,0
inuc665,28,14,950.21,0
inuc666,22,3,773.16,1
inuc667,29,1,314.52,1
inuc668,4,2,1708.36,1
inuc669,3,5,129.92,1
inuc670,11,2,1427.69,1
inuc671,22,13,1128.25,0
inuc672,29,2,1198.38,1
inuc673,9,24,880.79,0
inuc674,21,2,1152.14,1
inuc675,103,6,320.79,2
inuc676,26,18,568.95,0
inuc677,13,15,553.58,0
inuc678,10,1,103.32,1
inuc679,8,5,62.11,1
inuc680,29,14,1572.41,0
inuc681,15,4,946.16,1
inuc682,16,7,1189.99,1
inuc683,17,1,1856.61,1
inuc684,9,9,802.56,1
inuc685,7,11,1399.32,0
inuc686,3,12,853.18,1
inuc687,16,18,1346.3,0
inuc688,12,8,1899.43,0
inuc689,8,19,1829.73,0
inuc690,14,6,1995.32,1
inuc691,121,19,1343.96,2
inuc692,6,24,579.0,0
inuc693,9,17,1535.08,0
inuc694,10,22,1035.15,0
inuc695,5,6,1990.33,1
inuc696,16,12,1998.24,0
inuc697,26,4,1904.23,1
inuc698,20,4,1844.99,1
inuc699,16,18,835.03,0
inuc700,5,11,1960.2,0
inuc701,2,4,480.5,1
inuc702,16,5,1041.53,1
inuc703,16,7,233.22,1
inuc704,21,16,1906.48,0
inuc705,29,11,572.41,1
inuc706,8,18,1634.84,0
inuc707,15,2,120.92,1
inuc708,8,2,312.85,1
inuc709,21,1,1097.34,1
inuc710,14,7,583.65,1
inuc711,13,7,1361.69,1
inuc712,28,21,1168.85,0
inuc713,4,3,1840.56,1
inuc714,16,5,1254.12,1
inuc715,19,24,1088.95,0
inuc716,11,2,1940.85,1
inuc717,3,18,1187.4,0
inuc718,9,2,1725.07,1
inuc719,27,7,1717.7,1
inuc720,12,4,1290.95,1
inuc721,16,3,1075.38,1
inuc722,54,8,1352.2,2
inuc723,5,13,1553.19,0
inuc724,24,12,1971.23,0
inuc725,27,6,226.25,1
inuc726,13,5,1779.41,1
inuc727,8,11,1934.78,0
inuc728,30,2,377.73,1
inuc729,7,23,959.73,0
inuc730,18,5,406.12,1
inuc731,18,1,807.35,1
inuc732,0,21,814.76,0
inuc733,7,3,1199.35,1
inuc734,19,1,593.31,1
inuc735,12,2,726.51,1
inuc736,14,22,980.27,0
inuc737,7,19,722.57,0
inuc738,15,7,207.07,1
inuc739,8,5,334.09,1
inuc740,11,3,1472.33,1
inuc741,14,5,1670.74,1
inuc742,58,21,1902.07,2
inuc743,17,22,1949.76,0
inuc744,3,22,490.72,0
inuc745,9,3,145.14,1
inuc746,5,1,90.41,1
inuc747,10,4,118.43,1
inuc748,5,2,527.92,1
inuc749,23,11,1887.65,0
inuc750,27,16,1344.29,0
inuc751,24,2,1665.91,1
inuc752,10,19,439.31,0
inuc753,4,2,812.47,1
inuc754,16,6,1251.32,1
inuc755,21,22,1497.22,0
inuc756,25,14,1328.08,0
inuc757,7,1,285.05,1
inuc758,27,9,270.18,1
inuc759,52,7,649.58,2
inuc760,18,1,73.1,1
inuc761,23,6,271.1,1
inuc762,28,7,309.92,1
inuc763,27,4,1582.05,1
inuc764,5,17,1661.15,0
inuc765,24,6,327.09,1
inuc766,15,6,214.7,1
inuc767,14,4,573.03,1
inuc768,15,9,423.98,1
inuc769,22,3,895.91,1
inuc770,28,5,1651.61,1
inuc771,20,2,161.6,1
inuc772,10,2,666.05,1
inuc773,12,4,596.93,1
inuc774,27,18,1919.11,0
inuc775,22,18,1348.37,0
inuc776,11,16,1746.07,0
inuc777,6,24,685.08,0
inuc778,28,6,1272.97,1
inuc779,3,19,1527.41,0
inuc780,17,5,1968.29,1
inuc781,21,24,1269.7,0
inuc782,27,14,755.85,0
inuc783,6,21,1471.02,0
inuc784,28,26,1167.93,0
inuc785,20,1,343.18,1
inuc786,26,11,1051.25,0
inuc787,20,18,1190.9,0
inuc788,24,6,564.02,1
inuc789,5,28,1090.56,0
inuc790,8,22,1687.67,0
inuc791,17,21,1968.93,0
inuc792,28,18,436.54,0
inuc793,28,5,1681.4,1
inuc794,20,1,28.43,1
inuc795,4,20,837.3,0
inuc796,7,17,803.21,0
inuc797,4,1,49.7,1
inuc798,1,11,612.05,1
inuc799,14,20,1121.53,0
inuc800,16,6,173.27,1
inuc801,12,23,954.11,0
inuc802,3,26,701.23,0
inuc803,25,10,995.61,1
inuc804,15,4,1576.22,1
inuc805,5,5,1559.12,1
inuc806,8,1,161.15,1
inuc807,11,2,225.69,1
inuc808,2,2,1776.01,1
inuc809,24,10,1599.47,0
inuc810,21,3,304.23,1
inuc811,6,15,1856.11,0
inuc812,24,10,734.29,1
inuc813,53,6,1437.02,2
inuc814,25,8,879.55,1
inuc815,69,21,677.5,2
inuc816,8,24,1830.94,0
inuc817,2,6,521.58,1
inuc818,18,22,598.34,0
inuc819,29,9,245.96,1
inuc820,4,20,1127.64,0
inuc821,25,15,1176.69,0
inuc822,13,23,1312.58,0
inuc823,6,25,547.58,0
inuc824,4,4,714.95,1
inuc825,1,22,1617.22,0
inuc826,22,8,1893.54,0
inuc827,27,29,1290.45,0
inuc828,23,13,1434.73,0
inuc829,3,5,200.52,1
inuc830,8,17,1042.82,0
inuc831,21,7,1542.58,1
inuc832,7,1,171.09,1
inuc833,16,1,49.61,1
inuc834,3,3,443.42,1
inuc835,15,8,410.27,1
inuc836,18,1,338.22,1
inuc837,26,9,389.47,1
inuc838,19,9,1627.36,0
inuc839,2,15,617.82,0
inuc840,27,17,921.0,0
inuc841,10,13,602.29,1
inuc842,5,7,132.27,1
inuc843,15,19,704.16,0
inuc844,26,17,1336.09,0
inuc845,24,9,199.27,1
inuc846,28,9,1438.39,1
inuc847,20,26,773.5,0
inuc848,20,3,251.94,1
inuc849,15,10,1337.51,0
inuc850,18,11,301.09,1
inuc851,22,14,714.36,0
inuc852,10,2,1513.69,1
inuc853,14,16,393.81,0
inuc854,25,10,904.58,1
inuc855,21,1,358.62,1
inuc856,18,13,1696.64,0
inuc857,20,3,465.7,1
inuc858,10,5,631.59,1
inuc859,29,15,1283.59,0
inuc860,11,9,1335.59,1
inuc861,27,23,990.49,0
inuc862,11,18,1424.69,0
inuc863,5,2,248.11,1
inuc864,1,5,275.93,1
inuc865,9,13,1611.27,0
inuc866,10,1,93.72,1
inuc867,18,10,1530.48,0
inuc868,27,13,1509.41,0
inuc869,9,24,1281.48,0
inuc870,26,3,539.2,1
inuc871,29,2,1399.1,1
inuc872,25,29,1733.38,0
inuc873,27,14,653.55,0
inuc874,43,2,706.12,2
inuc875,24,29,1489.27,0
inuc876,28,21,1956.83,0
inuc877,12,14,1795.23,0
inuc878,10,22,730.88,0
inuc879,7,11,1583.77,0
inuc880,18,2,169.75,1
inuc881,18,6,1607.65,1
inuc882,68,3,916.19,2
inuc883,20,23,681.57,0
inuc884,16,12,1528.57,0
inuc885,5,28,1396.47,0
inuc886,3,3,259.83,1
inuc887,4,6,1804.3,1
inuc888,15,21,1073.82,0
inuc889,27,11,884.15,1
inuc890,16,7,411.65,1
inuc891,20,20,933.47,0
inuc892,9,19,1692.98,0
inuc893,1,14,1168.04,0
inuc894,18,9,289.67,1
inuc895,21,6,1527.15,1
inuc896,1,20,1951.03,0
inuc897,0,4,1331.32,1
inuc898,13,27,719.12,0
inuc899,16,6,735.31,1
inuc900,56,4,1869.92,2
